Symbol,Date,Entry Price,Exit Price,Side,Microstructure,Context,Risk,Sentiment,Fundamental,OHLCV
BTC/USDT,2021-03-17 12:00:00,54930.00000,59582.32563,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 54930.0| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1613.4348934001557| "volatility_pct": 2.9372563142183794},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 56398.71| "avgVolume": 15197.0| "maxHigh": 58201.58| "minLow": 54123.69| "priceRange": 4077.89| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-03-21 12:00:00,57159.04000,55730.06400,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 57159.04| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1367.3250276156818| "volatility_pct": 2.3921413438988512},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 57185.71| "avgVolume": 8287.0| "maxHigh": 58430.73| "minLow": 55508.0| "priceRange": 2922.73| "volatility": 1.16| "numCandles": 8}
BTC/USDT,2021-03-21 16:00:00,57513.18000,56075.35050,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 57513.18| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1335.801811357419| "volatility_pct": 2.322601204380316},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 57189.52| "avgVolume": 8167.0| "maxHigh": 58430.73| "minLow": 55508.0| "priceRange": 2922.73| "volatility": 1.18| "numCandles": 7}
BTC/USDT,2021-04-05 08:00:00,57756.36000,59200.26900,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 57756.36| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 956.3150333411893| "volatility_pct": 1.6557744174688107},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 58387.32| "avgVolume": 10509.0| "maxHigh": 59272.0| "minLow": 56777.77| "priceRange": 2494.23| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-04-06 16:00:00,58225.00000,56769.37500,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 58225.0| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 929.1807093974877| "volatility_pct": 1.5958449281193432},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 57661.99| "avgVolume": 10624.0| "maxHigh": 58655.0| "minLow": 55700.0| "priceRange": 2955.0| "volatility": 1.22| "numCandles": 5}
BTC/USDT,2021-04-07 12:00:00,56451.45000,57862.73625,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 56451.45| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1073.390709366487| "volatility_pct": 1.9014404578916697},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 56616.34| "avgVolume": 9255.0| "maxHigh": 57912.02| "minLow": 55473.0| "priceRange": 2439.02| "volatility": 1.28| "numCandles": 7}
BTC/USDT,2021-04-16 12:00:00,61551.62000,60012.82950,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 61551.62| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1243.3507978512066| "volatility_pct": 2.020013117203425},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 61367.96| "avgVolume": 11817.0| "maxHigh": 62506.05| "minLow": 59580.91| "priceRange": 2925.14| "volatility": 1.2| "numCandles": 8}
BTC/USDT,2021-04-16 16:00:00,61713.43000,60170.59425,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 61713.43| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1209.6828837189776| "volatility_pct": 1.9601614814133286},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 61447.84| "avgVolume": 10639.0| "maxHigh": 62506.05| "minLow": 60094.0| "priceRange": 2412.05| "volatility": 1.35| "numCandles": 6}
BTC/USDT,2021-04-17 16:00:00,60705.02000,59187.39450,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 60705.02| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1190.3973211577331| "volatility_pct": 1.9609536759196078},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 58575.38| "avgVolume": 14775.0| "maxHigh": 60955.0| "minLow": 50931.3| "priceRange": 10023.7| "volatility": 5.07| "numCandles": 3}
BTC/USDT,2021-04-18 00:00:00,54847.59333,52105.21367,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 54847.59333333333| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1775.1541187533512| "volatility_pct": 3.2365214421806012},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 55182.23| "avgVolume": 14917.0| "maxHigh": 60499.0| "minLow": 50500.0| "priceRange": 9999.0| "volatility": 2.26| "numCandles": 30}
BTC/USDT,2021-04-18 04:00:00,54847.59333,52105.21367,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 54847.59333333333| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1834.2345388423973| "volatility_pct": 3.3442388760705226},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 55188.01| "avgVolume": 14461.0| "maxHigh": 57526.81| "minLow": 50500.0| "priceRange": 7026.81| "volatility": 2.25| "numCandles": 29}
BTC/USDT,2021-04-18 08:00:00,54847.59333,52105.21367,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 54847.59333333333| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1948.4563574965118| "volatility_pct": 3.552491985664479},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 55152.57| "avgVolume": 13886.0| "maxHigh": 57526.81| "minLow": 50500.0| "priceRange": 7026.81| "volatility": 2.08| "numCandles": 28}
BTC/USDT,2021-04-18 12:00:00,54847.59333,52105.21367,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 54847.59333333333| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1993.15447481819| "volatility_pct": 3.633987115359647},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 55220.86| "avgVolume": 13457.0| "maxHigh": 57526.81| "minLow": 50500.0| "priceRange": 7026.81| "volatility": 1.95| "numCandles": 27}
BTC/USDT,2021-04-18 16:00:00,55720.66000,61222.68666,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 55720.66| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1929.922726616891| "volatility_pct": 3.4635676006294447},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 55935.34| "avgVolume": 10973.0| "maxHigh": 56688.28| "minLow": 54859.75| "priceRange": 1828.53| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-04-18 20:00:00,56150.01000,61222.68666,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 56150.01| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1874.2711032871127| "volatility_pct": 3.3379710943722234},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 56590.46| "avgVolume": 10377.0| "maxHigh": 57291.0| "minLow": 55537.48| "priceRange": 1753.52| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-04-20 08:00:00,56266.83000,59971.33453,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 56266.83| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1829.2041140808014| "volatility_pct": 3.2509457420665093},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 55795.01| "avgVolume": 13409.0| "maxHigh": 56455.93| "minLow": 54230.38| "priceRange": 2225.55| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-04-21 12:00:00,56153.75000,59948.32509,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 56153.75| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1694.1799574741306| "volatility_pct": 3.017037967142231},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 55816.22| "avgVolume": 10896.0| "maxHigh": 56346.7| "minLow": 54300.0| "priceRange": 2046.7| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-04-23 08:00:00,50070.36000,55435.97580,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 50070.36| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 2065.7368435978624| "volatility_pct": 4.1256680471198175},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 49953.49| "avgVolume": 19972.0| "maxHigh": 50300.0| "minLow": 47500.0| "priceRange": 2800.0| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-04-23 16:00:00,50876.72000,55435.97580,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 50876.72| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 2001.3922784083609| "volatility_pct": 3.933807600820888},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 51000.93| "avgVolume": 11260.0| "maxHigh": 51301.34| "minLow": 49470.26| "priceRange": 1831.08| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-04-26 04:00:00,52801.37000,55348.68907,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 52801.37| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1665.7010682913094| "volatility_pct": 3.1546550180256863},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 55659.89| "avgVolume": 9360.0| "maxHigh": 58981.44| "minLow": 52000.0| "priceRange": 6981.44| "volatility": 1.38| "numCandles": 48}
BTC/USDT,2021-04-29 20:00:00,53555.00000,54893.87500,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 53555.0| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1313.9531538980805| "volatility_pct": 2.453464949861041},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 54597.57| "avgVolume": 10768.0| "maxHigh": 57258.15| "minLow": 52330.94| "priceRange": 4927.21| "volatility": 2.58| "numCandles": 5}
BTC/USDT,2021-05-04 04:00:00,55917.97000,54520.02075,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 55917.97| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1249.9939599065099| "volatility_pct": 2.2354065426668916},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 55286.91| "avgVolume": 14900.0| "maxHigh": 56637.89| "minLow": 53526.0| "priceRange": 3111.89| "volatility": 3.24| "numCandles": 3}
BTC/USDT,2021-05-04 08:00:00,56143.42000,54739.83450,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 56143.42| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1238.0579627703307| "volatility_pct": 2.2051701922867024},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 54971.38| "avgVolume": 18091.0| "maxHigh": 56637.89| "minLow": 53526.0| "priceRange": 3111.89| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-05-04 16:00:00,54541.13000,53177.60175,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 54541.13| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1363.2466107560504| "volatility_pct": 2.4994836204458},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 53870.57| "avgVolume": 11823.0| "maxHigh": 54824.0| "minLow": 53046.69| "priceRange": 1777.31| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-05-10 20:00:00,55816.14000,54420.73650,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 55816.14| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1569.4773170846438| "volatility_pct": 2.8118700381012443},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 55479.3| "avgVolume": 17561.0| "maxHigh": 56435.48| "minLow": 53400.0| "priceRange": 3035.48| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-05-12 20:00:00,50982.62333,48433.49217,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 50982.62333333333| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1808.330829656426| "volatility_pct": 3.5469552396965573},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 50046.66| "avgVolume": 37052.0| "maxHigh": 54751.92| "minLow": 46000.0| "priceRange": 8751.92| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-05-13 00:00:00,50461.99000,55136.47428,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 50461.99| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 2024.1629132523958| "volatility_pct": 4.011262562678159},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 50670.86| "avgVolume": 29455.0| "maxHigh": 51367.19| "minLow": 46000.0| "priceRange": 5367.19| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-05-15 08:00:00,48929.74000,53566.36023,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 48929.74| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1711.58886453846| "volatility_pct": 3.498054280563232},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 48956.36| "avgVolume": 15525.0| "maxHigh": 49697.63| "minLow": 47721.84| "priceRange": 1975.79| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-05-15 12:00:00,48982.99000,52986.94484,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 48982.99| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1672.9439456428556| "volatility_pct": 3.415356934402852},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 48545.7| "avgVolume": 17597.0| "maxHigh": 49697.63| "minLow": 46900.0| "priceRange": 2797.63| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-05-16 20:00:00,46431.50000,50984.34666,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 46431.5| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1887.9520947810042| "volatility_pct": 4.066101880794298},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 44673.48| "avgVolume": 28448.0| "maxHigh": 46686.0| "minLow": 42777.0| "priceRange": 3909.0| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-05-17 04:00:00,45149.18000,50538.46184,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 45149.18| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 2115.9353266223966| "volatility_pct": 4.686542095830747},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 45440.28| "avgVolume": 32204.0| "maxHigh": 45800.0| "minLow": 42196.97| "priceRange": 3603.03| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-05-17 16:00:00,44197.73000,49911.58680,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 44197.73| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 2133.152417124419| "volatility_pct": 4.826384561208051},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 43867.88| "avgVolume": 25469.0| "maxHigh": 44939.2| "minLow": 42001.0| "priceRange": 2938.2| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-05-19 08:00:00,36534.49000,34707.76550,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 36534.48999999999| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 2264.1921126561674| "volatility_pct": 6.197409934164041},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 38009.26| "avgVolume": 84347.0| "maxHigh": 40888.0| "minLow": 30000.0| "priceRange": 10888.0| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-05-19 12:00:00,36534.49000,40083.76000,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 36534.48999999999| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 2766.4291046092985| "volatility_pct": 7.572102702430769},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 38330.72| "avgVolume": 92136.0| "maxHigh": 40442.0| "minLow": 30000.0| "priceRange": 10442.0| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-05-19 16:00:00,36534.49000,40083.76000,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 36534.48999999999| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 2878.184168565777| "volatility_pct": 7.877991915490753},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 38016.51| "avgVolume": 50229.0| "maxHigh": 40442.0| "minLow": 36111.0| "priceRange": 4331.0| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-05-21 20:00:00,37252.01000,43838.26938,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 37252.01| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 2883.897029584149| "volatility_pct": 7.741587714553252},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 37101.93| "avgVolume": 32800.0| "maxHigh": 38100.0| "minLow": 33488.0| "priceRange": 4612.0| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-05-23 20:00:00,34655.25000,39685.16456,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 34655.25| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 2406.3257509690593| "volatility_pct": 6.943610999687087},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 34953.31| "avgVolume": 21859.0| "maxHigh": 35889.0| "minLow": 33045.31| "priceRange": 2843.69| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-05-26 04:00:00,40445.79000,34612.01830,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 40445.79| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 2081.5463189934108| "volatility_pct": 5.146509238646126},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 37804.0| "avgVolume": 17884.0| "maxHigh": 40841.0| "minLow": 34567.89| "priceRange": 6273.11| "volatility": 2.45| "numCandles": 20}
BTC/USDT,2021-05-27 04:00:00,38275.47000,39232.35675,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 38275.47| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1885.4491088938637| "volatility_pct": 4.925998580536996},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 38982.74| "avgVolume": 13765.0| "maxHigh": 39888.02| "minLow": 37204.76| "priceRange": 2683.26| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-05-28 12:00:00,36749.31000,35830.57725,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 36749.31| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1767.678528184261| "volatility_pct": 4.810099912581382},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 36269.3| "avgVolume": 22796.0| "maxHigh": 37279.98| "minLow": 35168.24| "priceRange": 2111.74| "volatility": 0.0| "numCandles": 2}
